url,status,final_url,canonical,canonical_matches_url,robots,noindex,redirect,issue,confidence
/tools/resize/resize-image-to-300dpi,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-300dpi/,https://pixaroid.vercel.app/tools/resize/resize-image-to-300dpi/,yes,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",no,no,,high
/tools/resize/resize-image-to-300x300,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-300x300/,https://pixaroid.vercel.app/tools/resize/resize-image-to-300x300/,yes,"index,follow",no,no,,high
/tools/resize/resize-image-to-320x240,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-320x240/,https://pixaroid.vercel.app/tools/resize/resize-image-to-320x240/,yes,"index,follow",no,no,,high
/tools/resize/resize-image-to-3840x2160,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-3840x2160/,https://pixaroid.vercel.app/tools/resize/resize-image-to-3840x2160/,yes,"index,follow",no,no,,high
/tools/resize/resize-image-to-400x400,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-400x400/,https://pixaroid.vercel.app/tools/resize/resize-image-to-400x400/,yes,"index,follow",no,no,,high
/tools/resize/resize-image-to-480x480,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-480x480/,https://pixaroid.vercel.app/tools/resize/resize-image-to-480x480/,yes,"index,follow,max-snippet:-1,max-image-preview:large",no,no,,high
/tools/resize/resize-image-to-500x500,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-500x500/,https://pixaroid.vercel.app/tools/resize/resize-image-to-500x500/,yes,"index,follow",no,no,,high
/tools/resize/resize-image-to-512x512,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-512x512/,https://pixaroid.vercel.app/tools/resize/resize-image-to-512x512/,yes,"index,follow,max-snippet:-1,max-image-preview:large",no,no,,high
/tools/resize/resize-image-to-600dpi,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-600dpi/,https://pixaroid.vercel.app/tools/resize/resize-image-for-desktop-wallpaper/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-to-600x600,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-600x600/,https://pixaroid.vercel.app/tools/resize/resize-image-to-600x600/,yes,"index,follow",no,no,,high
/tools/resize/resize-image-to-640x480,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-640x480/,https://pixaroid.vercel.app/tools/resize/resize-image-to-640x480/,yes,"index,follow",no,no,,high
/tools/resize/resize-image-to-72dpi,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-72dpi/,https://pixaroid.vercel.app/tools/resize/resize-image-for-desktop-wallpaper/,no,"index,follow",no,no,cross_canonical,high
/tools/resize/resize-image-to-750x1334,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-750x1334/,https://pixaroid.vercel.app/tools/resize/resize-image-to-750x1334/,yes,"index,follow,max-snippet:-1,max-image-preview:large",no,no,,high
/tools/resize/resize-image-to-800x600,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-800x600/,https://pixaroid.vercel.app/tools/resize/resize-image-to-800x600/,yes,"index,follow",no,no,,high
/tools/resize/resize-image-to-800x800,200,https://pixaroid.vercel.app/tools/resize/resize-image-to-800x800/,https://pixaroid.vercel.app/tools/resize/resize-image-to-800x800/,yes,"index,follow",no,no,,high
